순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
10263,포천시,포천상운,90,236000235,지현교,236000363,일동면사무소.농협,236000543,N,20240306
10264,남양주시,대원운수,1,222000058,진벌리차고지입구,222001616,강변역A,104000183,Y,20231231
10265,남양주시,대원운수,1-4,222000032,차산리,222000796,미사동차고지,227000064,Y,20231231
10266,남양주시,대원운수,10,222000082,진벌리차고지,222000652,당고개역,110000650,N,20231231
10267,남양주시,대원운수,100,234000873,진벌리차고지,222000652,강변역B,104000280,N,20231231
10268,남양주시,대원운수,1000-1,234001511,호평동차고지,222000824,잠실광역환승센터,123000611,N,20231231
10269,남양주시,대원운수,1001,222000107,청학리,222001626,잠실광역환승센터,123000611,N,20231231
10270,남양주시,대원운수,1003,222000169,다산차고지,222001920,잠실광역환승센터,123000611,N,20231231
10271,의왕시,의왕운수,3,3,모락산현대아파트,27233,관악타운,10011,Y,20240311
10272,의왕시,백운여객,8,3,오봉산마을,27047,오전동주민센터,27138,Y,20240311
10273,의왕시,의왕교통,5,3,롯데타임빌라스,27242,인덕원역,10166,Y,20240311
10274,의왕시,백운여객,8,226000011,오봉산마을,27047,오전동주민센터,27138,Y,20240423
10419,남양주시,경기버스,88,222000008,내촌차고지,236001328,경동시장앞,105000081,N,20240617
10420,남양주시,경기버스,땡큐31,222000218,진벌마을,222000684,극동.성호아파트.중앙병원,222000972,N,20240617
10421,남양주시,경기버스,땡큐90,222000195,광릉내,222001122,한신더휴6.8단지,222001390,N,20240617
10422,남양주시,경기운수,10-5,234000028,호평동차고지,222000824,당고개역,110000650,N,20240617
10423,남양주시,경기운수,1000,221000003,호평동차고지,222000824,잠실광역환승센터,123000611,N,20240617
10424,남양주시,경기운수,170,222000221,사능차고지,222000755,현대코아,105000199,N,20240617
10425,남양주시,경기운수,2000,222000075,진벌리차고지,222000652,강남역.강남역사거리,121000091,N,20240617
10426,남양주시,경기운수,2000-1,222000122,진벌리차고지,222000652,강남역.강남역사거리,121000091,N,20240617
